t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit
# roles: P0:P D0:D
# metric: P0:cache_occupancy D0:unreachable
0.00,0.0000,0,0,105000,0.0000,0.0000,,,,,,
0.50,0.0000,0,0,105000,0.0000,0.0000,,,,,,
1.00,0.0000,0,0,105000,0.0000,0.0000,,,,,,
1.50,0.0000,0,0,105000,0.0000,0.0000,,,,,,
2.00,0.0000,0,0,105000,0.0000,0.0000,,,,,,
2.50,0.0000,0,0,105000,0.0000,0.0000,,,,,,
# metric: P0:cache_occupancy D0:cache_occupancy
3.00,0.0008,36,0,105000,0.0003,0.2727,0.0007,107,1,156229,0.0007,0.0000
3.50,0.0008,36,0,105000,0.0003,0.2727,0.0018,285,2,156229,0.0018,0.0000
4.00,0.0008,36,0,105000,0.0003,0.2727,0.0023,365,2,156229,0.0023,0.0000
4.50,0.0008,36,0,105000,0.0003,0.2727,0.0028,445,2,156229,0.0028,0.0000
5.00,0.0008,36,0,105000,0.0003,0.2727,0.0039,605,2,156229,0.0039,0.0000
5.50,0.0008,36,0,105000,0.0003,0.2727,0.0044,685,2,156229,0.0044,0.0000
6.00,0.0017,36,0,105000,0.0003,0.8000,0.0049,765,2,156229,0.0049,0.0000
6.50,0.0018,36,0,105000,0.0003,0.6316,0.0059,916,3,156229,0.0059,0.0000
7.00,0.0018,36,0,105000,0.0003,0.6316,0.0072,1129,4,156229,0.0072,0.0000
7.50,0.0018,36,0,105000,0.0003,0.6316,0.0083,1289,4,156229,0.0083,0.0000
8.00,0.0020,132,0,105000,0.0013,0.2312,0.0065,1015,3,156229,0.0065,0.0000
8.50,0.0115,36,0,105000,0.0003,0.6207,0.0117,1824,5,156229,0.0117,0.0000
9.00,0.0115,36,0,105000,0.0003,0.6207,0.0130,2024,5,156229,0.0130,0.0000
9.50,0.0115,36,0,105000,0.0003,0.6207,0.0142,2224,5,156229,0.0142,0.0000
10.00,0.0115,36,0,105000,0.0003,0.6207,0.0155,2424,5,156229,0.0155,0.0000
10.50,0.0115,36,0,105000,0.0003,0.6207,0.0168,2624,5,156229,0.0168,0.0000
11.00,0.0117,45,0,105000,0.0004,0.0898,0.0181,2824,5,156229,0.0181,0.0000
11.50,0.0117,45,0,105000,0.0004,0.0898,0.0194,3026,5,156229,0.0194,0.0000
12.00,0.0160,58,0,105000,0.0006,0.0826,0.0241,3761,3,156229,0.0241,0.0000
12.50,0.0221,723,0,105000,0.0069,0.0971,0.0251,3914,5,156229,0.0251,0.0000
13.00,0.0221,723,0,105000,0.0069,0.0971,0.0263,4114,5,156229,0.0263,0.0000
13.50,0.0221,723,0,105000,0.0069,0.0971,0.0276,4314,5,156229,0.0276,0.0000
14.00,0.0273,571,0,105000,0.0054,0.5210,0.0289,4514,5,156229,0.0289,0.0000
14.50,0.0374,1173,0,105000,0.0112,0.7059,0.0306,4786,4,156229,0.0306,0.0000
15.00,0.0374,1173,0,105000,0.0112,0.7059,0.0324,5061,7,156229,0.0324,0.0000
15.50,0.0374,1173,0,105000,0.0112,0.7059,0.0342,5341,7,156229,0.0342,0.0000
16.00,0.0374,1173,0,105000,0.0112,0.7059,0.0360,5621,7,156229,0.0360,0.0000
16.50,0.0374,1173,0,105000,0.0112,0.7059,0.0378,5901,7,156229,0.0378,0.0000
17.00,0.0415,1461,0,105000,0.0139,0.4883,0.0396,6181,7,156229,0.0396,0.0000
17.50,0.0415,1461,0,105000,0.0139,0.4883,0.0413,6451,5,156229,0.0413,0.0000
18.00,0.0465,36,0,105000,0.0003,0.5714,0.0452,7061,8,156229,0.0452,0.0000
18.50,0.0549,1569,0,105000,0.0149,0.1022,0.0493,7705,6,156229,0.0493,0.0000
19.00,0.0587,1973,0,105000,0.0188,0.4865,0.0518,8095,9,156229,0.0518,0.0000
19.50,0.0591,36,0,105000,0.0003,0.3495,0.0549,8581,10,156229,0.0549,0.0000
20.00,0.0591,36,0,105000,0.0003,0.3495,0.0575,8981,10,156229,0.0575,0.0000
20.50,0.0597,1096,0,105000,0.0104,0.6761,0.0498,7773,10,156229,0.0498,0.0000
21.00,0.0697,3298,0,105000,0.0314,0.6788,0.0625,9762,7,156229,0.0625,0.0000
21.50,0.0750,2688,0,105000,0.0256,0.7307,0.0647,10111,8,156229,0.0647,0.0000
22.00,0.0750,2688,0,105000,0.0256,0.7307,0.0671,10482,10,156229,0.0671,0.0000
22.50,0.0750,2688,0,105000,0.0256,0.7307,0.0697,10882,10,156229,0.0697,0.0000
23.00,0.0750,2688,0,105000,0.0256,0.7307,0.0722,11282,10,156229,0.0722,0.0000
